Year,country_name,cn,Regime,Regime Type,Phi0,Phi1,current_phi,Country,adv,emg,lid,g7,g20,adv_g20,emg_g20,ea,emg_mi_asia,emg_mi_europe,emg_mi_lam,emg_mi_n_africa,emg_mi_africa,lidc_asis,lidc_lam,lidc_sub_africa,lidc,lidc_oil,oil
2015,albania,914,0,Unit root,-0.597529046,-0.503453094,-0.597529046,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,albania,914,1,Unit root,-0.597529046,-0.503453094,-0.503453094,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,albania,914,0,Unit root,-0.597529046,-0.503453094,-0.597529046,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,albania,914,1,Unit root,-0.597529046,-0.503453094,-0.503453094,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,albania,914,0,Unit root,-0.597529046,-0.503453094,-0.597529046,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,albania,914,1,Unit root,-0.597529046,-0.503453094,-0.503453094,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,albania,914,0,Unit root,-0.597529046,-0.503453094,-0.597529046,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,albania,914,1,Unit root,-0.597529046,-0.503453094,-0.503453094,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,albania,914,0,Unit root,-0.597529046,-0.503453094,-0.597529046,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,albania,914,0,Unit root,-0.597529046,-0.503453094,-0.597529046,Albania,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1986,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1987,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1988,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1989,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1990,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1991,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1992,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1993,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1994,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1995,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1996,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1997,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1998,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1999,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2000,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2001,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2002,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2003,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2004,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2005,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2006,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2007,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2008,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2009,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2010,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2011,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2012,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2013,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2014,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2015,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2016,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2017,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2018,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2019,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2020,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2021,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2022,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2023,argentina,213,1,Unit root,-0.387064184,-0.06880437,-0.06880437,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2024,argentina,213,0,Stationary,-0.387064184,-0.06880437,-0.387064184,Argentina,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1994,armenia,911,1,Explosive,-0.234206246,0.032718292,0.032718292,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,armenia,911,0,Stationary,-0.234206246,0.032718292,-0.234206246,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,armenia,911,1,Explosive,-0.234206246,0.032718292,0.032718292,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,armenia,911,1,Explosive,-0.234206246,0.032718292,0.032718292,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,armenia,911,0,Stationary,-0.234206246,0.032718292,-0.234206246,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,armenia,911,1,Explosive,-0.234206246,0.032718292,0.032718292,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,armenia,911,1,Explosive,-0.234206246,0.032718292,0.032718292,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,armenia,911,1,Explosive,-0.234206246,0.032718292,0.032718292,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,armenia,911,1,Explosive,-0.234206246,0.032718292,0.032718292,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,armenia,911,1,Explosive,-0.234206246,0.032718292,0.032718292,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,armenia,911,1,Explosive,-0.234206246,0.032718292,0.032718292,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,armenia,911,0,Stationary,-0.234206246,0.032718292,-0.234206246,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,armenia,911,0,Stationary,-0.234206246,0.032718292,-0.234206246,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,armenia,911,1,Explosive,-0.234206246,0.032718292,0.032718292,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,armenia,911,0,Stationary,-0.234206246,0.032718292,-0.234206246,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,armenia,911,1,Explosive,-0.234206246,0.032718292,0.032718292,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,armenia,911,1,Explosive,-0.234206246,0.032718292,0.032718292,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,armenia,911,0,Stationary,-0.234206246,0.032718292,-0.234206246,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,armenia,911,0,Stationary,-0.234206246,0.032718292,-0.234206246,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,armenia,911,1,Explosive,-0.234206246,0.032718292,0.032718292,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,armenia,911,0,Stationary,-0.234206246,0.032718292,-0.234206246,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,armenia,911,0,Stationary,-0.234206246,0.032718292,-0.234206246,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,armenia,911,0,Stationary,-0.234206246,0.032718292,-0.234206246,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,armenia,911,0,Stationary,-0.234206246,0.032718292,-0.234206246,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,armenia,911,0,Stationary,-0.234206246,0.032718292,-0.234206246,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,armenia,911,0,Stationary,-0.234206246,0.032718292,-0.234206246,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,armenia,911,0,Stationary,-0.234206246,0.032718292,-0.234206246,Armenia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,australia,193,1,Stationary,-0.322707032,-0.205916781,-0.205916781,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1961,australia,193,1,Stationary,-0.322707032,-0.205916781,-0.205916781,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1962,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1963,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1964,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1965,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1966,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1967,australia,193,1,Stationary,-0.322707032,-0.205916781,-0.205916781,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1968,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1969,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1970,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1971,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1972,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1973,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1974,australia,193,1,Stationary,-0.322707032,-0.205916781,-0.205916781,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1975,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1976,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1977,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1978,australia,193,1,Stationary,-0.322707032,-0.205916781,-0.205916781,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1979,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1980,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1981,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1982,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1983,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1984,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1985,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1986,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1987,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1988,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1989,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1990,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1991,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1992,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1993,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1994,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1995,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1996,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1997,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1998,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1999,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2000,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2001,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2002,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2003,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2004,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2005,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2006,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2008,australia,193,1,Stationary,-0.322707032,-0.205916781,-0.205916781,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2009,australia,193,1,Stationary,-0.322707032,-0.205916781,-0.205916781,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020,australia,193,1,Stationary,-0.322707032,-0.205916781,-0.205916781,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2023,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2024,australia,193,0,Stationary,-0.322707032,-0.205916781,-0.322707032,Australia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1970,austria,122,0,Unit root,-0.011138482,-0.141345736,-0.011138482,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1971,austria,122,0,Unit root,-0.011138482,-0.141345736,-0.011138482,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1972,austria,122,0,Unit root,-0.011138482,-0.141345736,-0.011138482,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1973,austria,122,0,Unit root,-0.011138482,-0.141345736,-0.011138482,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1974,austria,122,0,Unit root,-0.011138482,-0.141345736,-0.011138482,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1975,austria,122,1,Unit root,-0.011138482,-0.141345736,-0.141345736,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1976,austria,122,1,Unit root,-0.011138482,-0.141345736,-0.141345736,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1977,austria,122,1,Unit root,-0.011138482,-0.141345736,-0.141345736,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1978,austria,122,1,Unit root,-0.011138482,-0.141345736,-0.141345736,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1979,austria,122,1,Unit root,-0.011138482,-0.141345736,-0.141345736,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1980,austria,122,1,Unit root,-0.011138482,-0.141345736,-0.141345736,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1981,austria,122,1,Unit root,-0.011138482,-0.141345736,-0.141345736,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1982,austria,122,1,Unit root,-0.011138482,-0.141345736,-0.141345736,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1983,austria,122,1,Unit root,-0.011138482,-0.141345736,-0.141345736,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1984,austria,122,1,Unit root,-0.011138482,-0.141345736,-0.141345736,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1985,austria,122,0,Unit root,-0.011138482,-0.141345736,-0.011138482,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1986,austria,122,0,Unit root,-0.011138482,-0.141345736,-0.011138482,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1987,austria,122,0,Unit root,-0.011138482,-0.141345736,-0.011138482,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1988,austria,122,0,Unit root,-0.011138482,-0.141345736,-0.011138482,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1989,austria,122,0,Unit root,-0.011138482,-0.141345736,-0.011138482,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1990,austria,122,0,Unit root,-0.011138482,-0.141345736,-0.011138482,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1991,austria,122,0,Unit root,-0.011138482,-0.141345736,-0.011138482,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1992,austria,122,0,Unit root,-0.011138482,-0.141345736,-0.011138482,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1993,austria,122,0,Unit root,-0.011138482,-0.141345736,-0.011138482,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1994,austria,122,1,Unit root,-0.011138482,-0.141345736,-0.141345736,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1995,austria,122,1,Unit root,-0.011138482,-0.141345736,-0.141345736,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1996,austria,122,1,Unit root,-0.011138482,-0.141345736,-0.141345736,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1997,austria,122,0,Unit root,-0.011138482,-0.141345736,-0.011138482,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1998,austria,122,0,Unit root,-0.011138482,-0.141345736,-0.011138482,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1999,austria,122,0,Unit root,-0.011138482,-0.141345736,-0.011138482,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2000,austria,122,0,Unit root,-0.011138482,-0.141345736,-0.011138482,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2001,austria,122,1,Unit root,-0.011138482,-0.141345736,-0.141345736,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2002,austria,122,1,Unit root,-0.011138482,-0.141345736,-0.141345736,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2003,austria,122,1,Unit root,-0.011138482,-0.141345736,-0.141345736,Austria,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
