country,Mean CAB/GDP%,SD CAB/GDP%,Min CAB/GDP%,Max CAB/GDP%,Start Date,End Date,N
Argentina,0.758765270009832,1.4143003645759,-1.32814436729192,2.57263869837827,2020-04-01,2022-04-01,9
Armenia,-6.50888012950201,0.0415810651255916,-6.53828238262128,-6.47947787638275,2020-04-01,2020-07-01,2
Australia,2.70886184533453,1.11189032633324,0.474756930954871,3.7055925413144,2020-04-01,2022-04-01,9
Austria,1.11300857254981,1.34431761733921,-0.865608484337184,3.13276002251152,2020-04-01,2022-04-01,9
Belgium,-0.53571347119998,3.14973827338938,-7.08819337219877,2.08589897349354,2020-04-01,2022-04-01,9
Brazil,-1.41833767159908,1.24369582713925,-3.23250304746533,-0.0597799881058553,2020-04-01,2022-04-01,9
Cambodia,-28.6608912950341,24.8833663936305,-58.274558001221,5.41713454934192,2020-04-01,2021-10-01,7
Canada,-0.327471650250899,0.805488989953976,-1.97154205950427,0.392866458007303,2020-04-01,2022-04-01,9
Chile,-5.81127478315823,4.28363129705104,-11.1944355518195,0.830555553751986,2020-04-01,2022-07-01,10
China,2.1367095871687,0.582777054595854,1.12516064171446,2.98406675248826,2020-04-01,2022-04-01,9
Colombia,-5.05869317525584,1.3353088081098,-6.55504642886443,-3.07235586750944,2020-04-01,2022-04-01,9
Costa Rica,-2.86684320676071,1.53038955230094,-5.01392921253904,0.40810366614955,2020-04-01,2022-04-01,9
Czech Republic,-0.688849056047527,3.63774017876953,-4.76071069086511,7.40624979577671,2020-04-01,2022-04-01,9
Denmark,9.25090386022359,1.93456553274826,6.1757025898618,12.5038529336876,2020-04-01,2022-04-01,9
Estonia,-1.2118990008014,5.35014774915884,-10.9986577005833,5.65126178316583,2020-04-01,2022-04-01,9
Finland,0.05932772383741,2.75588370054827,-3.88709748082747,3.64117825875017,2020-04-01,2022-04-01,9
France,-0.480248911687729,1.44002025533051,-2.24365748932356,2.15174577013034,2020-04-01,2022-04-01,9
Germany,6.58791590569552,1.81244810580788,3.58882456465576,8.4627416463432,2020-04-01,2022-04-01,9
Greece,-6.47018151834439,2.01738505689892,-8.70640119211833,-2.61780116156263,2020-04-01,2022-04-01,9
