date,ccode,cn,Country,year,idc,ldc,emg,eap,eca,mena,sa,we,na,ssa,lac,oil,emg2,fc,ez,euro_start
7/1/1975,USA,111,United States,1975,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1975,USA,111,United States,1975,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1976,USA,111,United States,1976,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1976,USA,111,United States,1976,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1976,USA,111,United States,1976,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1976,USA,111,United States,1976,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1977,USA,111,United States,1977,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1977,USA,111,United States,1977,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1977,USA,111,United States,1977,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1977,USA,111,United States,1977,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1978,USA,111,United States,1978,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1978,USA,111,United States,1978,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1978,USA,111,United States,1978,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1978,USA,111,United States,1978,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1979,USA,111,United States,1979,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1979,USA,111,United States,1979,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1979,USA,111,United States,1979,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1979,USA,111,United States,1979,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1980,USA,111,United States,1980,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1980,USA,111,United States,1980,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
