DATASET,SERIES_CODE,OBS_MEASURE,Country,BOP_ACCOUNTING_ENTRY,INDICATOR,UNIT,FREQUENCY,SCALE,1950-Q1,1950-Q2,1950-Q3,1950-Q4,1951-Q1,1951-Q2,1951-Q3,1951-Q4,1952-Q1,1952-Q2,1952-Q3,1952-Q4,1953-Q1,1953-Q2,1953-Q3,1953-Q4,1954-Q1,1954-Q2,1954-Q3,1954-Q4,1955-Q1,1955-Q2,1955-Q3,1955-Q4,1956-Q1,1956-Q2,1956-Q3,1956-Q4,1957-Q1,1957-Q2,1957-Q3,1957-Q4,1958-Q1,1958-Q2,1958-Q3,1958-Q4,1959-Q1,1959-Q2,1959-Q3,1959-Q4,1960-Q1,1960-Q2,1960-Q3,1960-Q4,1961-Q1,1961-Q2,1961-Q3,1961-Q4,1962-Q1,1962-Q2,1962-Q3,1962-Q4,1963-Q1,1963-Q2,1963-Q3,1963-Q4,1964-Q1,1964-Q2,1964-Q3,1964-Q4,1965-Q1,1965-Q2,1965-Q3,1965-Q4,1966-Q1,1966-Q2,1966-Q3,1966-Q4,1967-Q1,1967-Q2,1967-Q3,1967-Q4,1968-Q1,1968-Q2,1968-Q3,1968-Q4,1969-Q1,1969-Q2,1969-Q3,1969-Q4,1970-Q1,1970-Q2,1970-Q3,1970-Q4,1971-Q1,1971-Q2,1971-Q3,1971-Q4,1972-Q1,1972-Q2,1972-Q3,1972-Q4,1973-Q1,1973-Q2,1973-Q3,1973-Q4,1974-Q1,1974-Q2,1974-Q3,1974-Q4,1975-Q1,1975-Q2,1975-Q3,1975-Q4,1976-Q1,1976-Q2,1976-Q3,1976-Q4,1977-Q1,1977-Q2,1977-Q3,1977-Q4,1978-Q1,1978-Q2,1978-Q3,1978-Q4,1979-Q1,1979-Q2,1979-Q3,1979-Q4,1980-Q1,1980-Q2,1980-Q3,1980-Q4,1981-Q1,1981-Q2,1981-Q3,1981-Q4,1982-Q1,1982-Q2,1982-Q3,1982-Q4,1983-Q1,1983-Q2,1983-Q3,1983-Q4,1984-Q1,1984-Q2,1984-Q3,1984-Q4,1985-Q1,1985-Q2,1985-Q3,1985-Q4,1986-Q1,1986-Q2,1986-Q3,1986-Q4,1987-Q1,1987-Q2,1987-Q3,1987-Q4,1988-Q1,1988-Q2,1988-Q3,1988-Q4,1989-Q1,1989-Q2,1989-Q3,1989-Q4,1990-Q1,1990-Q2,1990-Q3,1990-Q4,1991-Q1,1991-Q2,1991-Q3,1991-Q4,1992-Q1,1992-Q2,1992-Q3,1992-Q4,1993-Q1,1993-Q2,1993-Q3,1993-Q4,1994-Q1,1994-Q2,1994-Q3,1994-Q4,1995-Q1,1995-Q2,1995-Q3,1995-Q4,1996-Q1,1996-Q2,1996-Q3,1996-Q4,1997-Q1,1997-Q2,1997-Q3,1997-Q4,1998-Q1,1998-Q2,1998-Q3,1998-Q4,1999-Q1,1999-Q2,1999-Q3,1999-Q4,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1
IMF.STA:BOP(20.0.0),SLB.NETCD_T.CAB.USD.Q,OBS_VALUE,Solomon Islands,Net (credits less debits),Current account balance (credit less debit),US dollar,Quarterly,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.79556956,-7.204195577,-11.71493057,-11.46334145,-23.31857573,-13.06444667,-22.85540015,-20.9324932,-19.25397103,-12.65472299,-44.52215718,-3.164703587,-15.8922388,-10.86941753,-17.2196299,-15.60661355,-12.36044477,-56.20312764,-38.25885882,-37.33314616,-20.11081753,2.370185179935424,-7.008401974,5.976794158740349,27.83051188385691,14.52879504964709,4.248550035648575,-20.21735029,-26.29268727,17.48328651956964,-27.85989758,-1.877184358,-26.53984545,0.1120717277697882,-16.61539035,-6.521945087,-11.88507221,0.6940732452525264,-33.30608902,8.424175119,-13.09832844,2.958695113937807,-28.95686937,-9.706983364,-18.95785708,-17.31000577,-30.91443354,4.348958672122151,7.419376326512738,4.625826483989455,-18.71033062,-41.14998685,-41.41687644,3.970910598530129,-59.42638361,-57.12520004,7.520354461450082,8.045882205621723,-35.10983973,-5.515947786,-18.06162454,-29.51917408,-36.37075644,5.759978059,-39.02852012,-29.57571148,-74.90299736,-75.02660447,-35.28707773,-24.3667307,-56.90886973,-61.63435871,12.87148389223231,-31.49329141,-47.1861301,-0.422928726,
IMF.STA:BOP(20.0.0),IRQ.NETCD_T.CAB.USD.Q,OBS_VALUE,Iraq,Net (credits less debits),Current account balance (credit less debit),US dollar,Quarterly,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6893.121232,6110.527405,916.3357502,2172.497936,2403.8,8510,2403.6,2538.1,2115.320899,633.3194641,-3036.66937,-2473.785215,-2087.8,554.24,2083.6,1607.9,3845.5,3321.156,1533,6192.8,6880.3,9067.8,9111.1,9310.3,5187.9,4439,2666.6,3469.1,803.2,551.7,-4910.2,-2750.8,8528.6,5943.1,4471.7,5621.6,9556,15038.8,16997.6,16417.1,13765.58639,6088,5126.5,3394.5,,,,,
IMF.STA:BOP(20.0.0),EST.NETCD_T.CAB.USD.Q,OBS_VALUE,"Estonia, Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Quarterly,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.795833333,4.795833333,22.31228669,4.325953027898104,18.00856094578063,8.927512313365504,28.0349475,-33.33994103,-44.94561276,-21.15683424,-34.87739147,-65.31255048,-60.38670457,-52.63047954,40.61108686163247,-85.39947322,-100.124851,-59.08617761,-64.83011938,-174.1943379,-141.5672146,-81.93096402,-125.1885161,-213.0428592,-146.2856488,-119.8061907,-110.7699943,-101.5715467,-73.97142242,-83.45649196,18.63533006624998,-155.8515699,-46.84605662,-59.72071799,-39.62961463,-152.8129583,-87.65263447,-25.15426592,-68.64178394,-143.1725796,-191.7072897,-180.8809985,-151.6216675,-255.1312898,-315.5519644,-261.3730806,-281.5005854,-417.6836259,-435.081761,-469.5561737,-65.62808102,-485.4979696,-272.7025223,-263.9036634,-299.3027897,-382.1704734,-579.8231422,-561.4622439,-550.6797695,-857.0959715,-985.1294422,-819.3110787,-792.7022138,-725.9524219,-895.2926676,-632.8304128,-437.9691387,-190.329339,-49.02011944,51.60214541612829,271.5905180045368,251.5311322615425,-51.11780897,21.92172194126996,271.5688455,98.06571385151535,-168.1053359,-22.4421704,272.1402863515094,222.6369614031251,-54.03081641,-220.7952398,-178.6549546,21.71313684374999,-75.24283911,12.65738561904717,-33.99299366,62.69216832499996,-211.2643272,72.62571459677625,65.27848299,213.6191167968751,-96.12642814,216.1821591225737,161.9562885,59.10409652000169,-150.1724064,110.0394712892322,254.0241162121239,30.797415,91.23073557230572,77.09403862903292,188.8522501615398,109.7241068714273,38.76573092857189,137.4122136380979,22.95916507,-23.11588595,120.6836646857112,176.7478967,213.1504671878741,129.7805302,171.999669,230.5818927032245,-185.8065232,-1085.680748,-594.2778348,-1018.254842,-214.3385709,439.7108113545617,-306.5563397,-569.5592135,-268.8625097,-350.9196594,-146.3794995,-243.2054524,-555.057901,221.9744022539734,-163.2611502,-194.5100859,-295.8898721,164.0018318,
IMF.STA:BOP(20.0.0),TZA.NETCD_T.CAB.USD.Q,OBS_VALUE,"Tanzania, United Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Quarterly,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1114.299702,-959.041281,-735.0194878,-955.9754443,-1447.67053,-1259.116763,-1316.227252,-964.9401877,-1636.959481,-1100.744971,-992.226095,-1256.620321,-1040.558717,-928.9389878,-848.9882328,199.912191,-457.7361989,-584.1611951,-211.9209881,36.07885985,-444.8430409,-421.6834049,-263.7063936,-347.2963533,-502.4666897,-527.5286648,-614.7219291,-664.1093567,-293.3454205,-646.6522054,-308.3962169,-91.84782081,-605.2651107,-311.6084925,-474.2985176,-67.37524888,-465.2831093,-802.1144174,-323.3129916,-783.4829901,-1021.399153,-1322.163131,-1687.054407,-1451.599745,-839.1811239,-977.7927455,-116.8474706,-1024.481866,-576.8195693,-751.3518188,,,
IMF.STA:BOP(20.0.0),POL.NETCD_T.CAB.USD.Q,OBS_VALUE,"Poland, Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Quarterly,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2958,-2821,-1899,-2665,-1539,-2257,-599,-1551,-1682,-1747,-790,-1325,-1954,-1447,-884,-1188,-3696,-4370,-3680,-3551,-2033,-2452,-2723,-2938,-2913,-3810,-3703,-5655,-5500,-7872,-6534,-8816,-7004,-9905,-10316,-8910,-1531,-4233,-5133,-6497,-5816,-4304,-7032,-7550,-5326,-8335,-7857,-5458,-7544,-5321,-4991,-2627,-3077,-4056,-2467,-668,-5139,-6617,-4355,-6,-1870,-2511,-3418,1436,-1043,329,-5210,866,-258,-2499,-2184,-1327,-2473,-2282,-5385,-1550,-1252,-1402,-2317,3326,1065,4502,1858,7107,574,2091,-6264,-5371,-6718,-2248,-4736,-2120,6118,2844,2081,3492,5004,332,-4315,768,
IMF.STA:BOP(20.0.0),GRC.NETCD_T.CAB.USD.Q,OBS_VALUE,Greece,Net (credits less debits),Current account balance (credit less debit),US dollar,Quarterly,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-414,-210,-65,-240,-328,-422,82,-407,-484,-279,-56,-136,-629,-558,-244,-455,-780,-701,22,-750,-783,-668,-183,-774,-599,-332,-388,-573,-921,-231,-227,-499,-926,-487,-14,-705,-1133,-874,-439,-830,-867,-594,125,-340,-748,-704,801,-572,-988,-392,826,-404,-688,-800,-92,-981,-1938,-820,107,-886,-1803.7,-358,1238,-650,-963,-471,-212,-494,-234,-729,1607,-1391,-67,-1032,1313,-360,-682,-1468,-298,-416,-1207,-1916,-461,-970,-1666,-1831,-740,-623,,,,,-1453.647774,-1849.610357,-1163.134924,-2827.859029,-3344.248701,-2607.099315,-923.7651407,-2942.328494,-2629.795807,-2127.396241,-1252.178421,-3393.729519,-2725.088927,-2764.702201,231.5683089436936,-4337.371442,-3931.742148,-3420.812067,3.570102639696952,-5463.828068,-4224.868493,-3683.003239,517.9994398303119,-6102.690156,-6031.88542,-4211.988105,-816.1243863,-7158.756073,-9723.179783,-7872.194011,-2281.221509,-9699.790608,-11823.49739,-10429.33587,-5938.158872,-16388.2571,-14116.45397,-15185.68517,-8397.708988,-13597.20537,-9243.409614,-9527.236679,-5071.701642,-12103.24637,-12881.78296,-5137.529987,-3500.907083,-8742.391025,-9711.340511,-8097.57195,-2842.338174,-7948.065095,-5809.329312,-2042.029468,4024.883718428298,-2345.621997,-4959.732138,-1801.081566,5601.609020318218,-3789.936525,-2434.990526,-2072.15949,5280.913343217613,-4508.475384,-4173.440557,-1447.081918,6214.809714,-2205.679047,-3029.808256,-926.9238542,3980.419489322579,-3284.745149,-3323.27626,-938.5653373,4716.568596070771,-4060.721841,-3800.935779,-1757.665922,3732.936556896339,-4422.857892,-4289.767131,-408.054559,4503.379388690825,-2917.668272,-3879.492848,-3802.87427,-1612.443575,-3118.221108,-3183.638162,-5717.156137,2096.656107199934,-7053.684189,-8080.453195,-5473.789658,450.6201698388267,-9519.238139,-4067.985812,-4419.81082,1339.231501628078,-7858.977825,-4085.581108,-4896.931904,354.2007027509291,-7770.634585,
IMF.STA:BOP(20.0.0),KGZ.NETCD_T.CAB.USD.Q,OBS_VALUE,Kyrgyz Republic,Net (credits less debits),Current account balance (credit less debit),US dollar,Quarterly,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.16,-29.486,-5.464,-32.484,-35.791,1.662,11.511,-61.356,-31.491,-25.385,-33.217,-144.624,-97.05,-129.38,-86.126,-112.199,-79.501,16.328,-12.232,-63.11,-64.73989183,-92.35697818,-69.09458889,-137.7259035,-31.89203062,-42.77811086,-29.29960191,-79.78478686,-16.33658077,-12.64781688,6.770981504,-53.87152452,5.101744299,-11.91751041,14.99739971,-27.17464352,-8.818581514,-2.129170843,-2.556599787,-15.81324579,5.384581133,-48.40973021,-10.38230459,11.24041527,-6.597872264,-7.88619997,16.23527846,27.52409626,-11.83569353,-6.412879183,10.66491677,-29.8570932,-21.40203975,-34.17207647,-12.82056195,-217.725763,-130.2781597,-64.59161046,61.61809787,-94.36843753,-259.6680846,-160.1303722,-30.09278742,-263.3483341,-200.5051603,111.5253181,-59.63645333,-53.72409879,-141.3024492,-44.7444085,-41.36366405,-247.1516488,-83.3916674,56.69983845,-94.24181327,-356.1271612,-255.4990461,-198.1235092,-268.6100917,-303.2311488,-342.4487669,-285.5111337,-311.816181,-70.65555742,-282.5021091,-125.6435355,-338.1607816,-554.9667801,-400.9649963,-276.2119936,-272.4877083,-102.7658471,-235.7055868,-299.505299,-116.8944483,-140.1372923,-121.3707024,-152.5836044,-70.54074128,-191.0668579,-453.1826712,-272.8904952,-163.9236205,-71.73072615,-289.2950464,-275.746971,-200.0254653,-301.7659802,-27.40304056,191.4813274,172.755318,37.42340076,-118.9410416,289.9068561,-294.8314999,-613.8302012,-1113.120662,-1264.86947,-1831.902606,-969.7367987,-1491.130722,-1957.100852,,,,,,,
IMF.STA:BOP(20.0.0),LKA.NETCD_T.CAB.USD.Q,OBS_VALUE,Sri Lanka,Net (credits less debits),Current account balance (credit less debit),US dollar,Quarterly,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.13257977,24.84216306,63.5272228,35.69084345,6.165628245,-36.75509257,-14.50973708,-20.47146402,-59.86968023,-68.88508453,-29.78033004,-67.77378815,-179.6128868,-162.6408684,-162.1147329,-150.9345707,-139.3971814,-168.0478904,-101.7398847,-35.2414424,-71.01336951,-176.7405904,-191.1846874,-109.3797061,-110.9681858,-81.37023239,-176.232999,-97.42928848,-27.46467693,-40.12407047,35.60819159,32.85946437,-60.83497509,-147.3632813,-36.61388551,-173.6381323,-161.1455896,-163.1733126,-67.70013609,-25.05505318,-85.52685145,-111.8453564,-72.65793736,-56.02475152,-84.98001556,-126.3935447,-112.4501358,-70.64510036,-96.15440518,-277.8837395,82.65527935,-122.325,-0.125,-125.9,-29.5704499,-142.7052632,-100.6588064,-187.4932832,-31.66489102,-274.9579728,-131.3339669,-180.7858503,-106.0898135,-32.45330523,-61.91432633,-308.6430361,43.37499964,-55.04133333,-89.75157265,-247.5165466,-221.3112269,-198.8324302,-226.0765897,-263.8363065,-165.9561449,-114.0701138,-129.8603394,-222.8355232,-112.0633621,-217.8976603,-235.6620867,-250.1430198,44.19563541,46.93048473,-209.9063183,-104.0684536,78.27166418,8.04295396,-48.63489611,-143.0126374,-3.059369147,-366.6414967,-256.4098024,-659.6264833,-22.98432041,-104.5669133,-73.08,-202.81,175.37,-114.97,-13.1,-305.67,202.84,-120.42,19.09,2.59,117.5,-209.9,-68.48,-327.18,-40.1,-211.81,-6.0627,-366.186,-237.485,-40.39323,-311.66,-560.231,-328.1,-298.02,-221.45,-547.65,-168.54,-463.26,-674.6,-1186.9,-1064.1,-959.8,-13.15,97.05,255.45,-554.05,-241.3,-592.5,241.39,-482.62,-510.33,-965.96,-1443.84,-1695.29,-1483.434104,-722.3818039,-691.0269835,-1112.30696,-1061.872071,-973.8081732,-403.0516941,-101.8432148,-453.7667334,-53.45888146,-842.0604119,-638.3981975,-321.1212061,-558.7164242,-303.1422532,-699.7942004,35.52015447,-676.3554872,-93.15224967,-1008.412133,-406.0328232,-634.8827474,-184.0792524,-1084.0008,-587.4652884,-1019.438756,-379.3261598,-812.8228617,449.7610164,-800.931506,-576.0028916,-916.2268419,-440.8872116,-655.5790868,226.0137634,-316.6676182,-412.1806146,-970.5602191,-762.6863414,-1138.845043,-1319.844506,-367.5146925,166.724384,72.18113645,583.6097655,51.13701973,687.0086326,237.1538786,,,,,
IMF.STA:BOP(20.0.0),YEM.NETCD_T.CAB.USD.Q,OBS_VALUE,"Yemen, Republic of",Net (credits less debits),Current account balance (credit less debit),US dollar,Quarterly,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.53283756,87.64450871,203.67829,344.3559562,390.77,475.41,-127.84,-532.62,42.44,215.83,-1102.47,-664.13,-88.41,-222.13,417.34,-1358.09,-769.0864279,-891.2097578,-301.4799063,-565.6416669,-169.9841357,-534.632911,-150.5100106,-199.0092127,-260.0702208,-363.1230597,353.0583015,-257.2315949,416.4279247,-322.0794371,22.18210819,-451.1479115,-344.6582221,-595.1171022,-387.4207977,-203.2938348,-551.2122831,-503.2049249,629.2410694,-1063.077172,-912.1056859,-385.5107701,-477.6335639,-1250.774526,-664.1943949,-744.9745522,-551.0368694,-458.755005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.STA:BOP(20.0.0),MEX.NETCD_T.CAB.USD.Q,OBS_VALUE,Mexico,Net (credits less debits),Current account balance (credit less debit),US dollar,Quarterly,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-700,-1332,-1801,-1576,-1334,-2552,-3174,-3362,-2585,-3877,-5079,-4699,-4095,-2523,-373,1102,1640,1415,1033,1778,2174,1243,291,475,174,-525,317,834,-401,-852,-637,513,1381,1526,532,808,762,37,-1454,-1719,-1031,-1269,-2063,-1462,-2190,-1659,-1778,-1824,-2207,-3914,-4250,-4517,-5151,-5897,-6856,-6538,-5661,-5742,-6569,-5428,-6781.5,-7475.97,-7908.37,-7496.27,-1354.61,356.47,-450.36,-127.94,-163.65,255.027,-864.403,-1734.721,-219.71,-1183.861,-2589.928,-3671.438,-3279.629,-3392.61,-4714.11,-4606.309,-3661.08173,-2873.503866,-3162.94333,-4302.206004,-4978.77811,-3496.494593,-4022.638634,-6254.510534,-4785.163672,-3594.226152,-3326.699937,-6046.421187,-3627.093766,-2032.123022,-2711.575496,-4027.253254,-1700.305073,-506.158152,-83.157012,-1742.999421,-1168.96752,1084.074417,-317.844457,-3405.909468,-3427.469033,-171.917095,69.895537,-2191.885575,-1422.713121,-90.500894,-102.635592,-1613.855968,-4868.752608,-1773.58864,-720.52944,-1948.074259,-4110.863237,-2039.546244,-3655.8763,-6534.548296,-1486.740512,-258.530215,-4253.466181,-1085.804191,473.391865,495.76546,19.231129,-4742.326247,-2120.735518,-1711.423145,-4265.955677,-2445.503426,-4680.648122,-988.172931,-3263.537275,-8762.799021,-8308.57554,-9253.084745,-5596.019896,-8620.741094,-9029.204653,-7934.870219,-2627.592833,-5260.374387,-9655.093455,-7598.92548,-7720.189579,-6561.453523,-10139.61599,-7486.754423,-4930.634544,-2725.307955,-13314.29056,-2712.458904,-5123.075992,-252.951409,-12101.4221,-3886.04886,-5807.488048,-4136.844944,-11515.76195,5057.729923,-253.982185,2840.847946,-7033.887294,-354.945018,16928.97643,17330.74336,-9317.716,6113.467547,-3540.737783,2182.430363,-11580.64771,-1839.38454,-6067.638669,1786.890921,-20646.60562,2089.422963,1201.377382,11745.14331,-22201.17008,2510.805819,1103.873045,12600.70395,
IMF.STA:BOP(20.0.0),USA.NETCD_T.CAB.USD.Q,OBS_VALUE,United States,Net (credits less debits),Current account balance (credit less debit),US dollar,Quarterly,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,1020,1060,4550,2230,670,-2690,1490,4520,5540,1820,6000,2680,2390,-2640,1410,-2690,-2270,-5440,-4700,-6036,-3542,-6750,581,1345,51.3,-2892,1339,-1679,-189,157,3838,2808,1416,-1692,2278,-32,1820,-8346,-5049,-1669,-9611,-17727,-15215,-18529,-25568,-28759,-26152,-21258,-31146,-36960,-35091,-29999,-36691,-41707,-38777,-34220,-40445,-44628,-41354,-27289,-29242,-32889,-31838,-21729,-23823,-29298,-24656,-15910,-17769,-29207,-16066,17737,4269,-11584,-7571,1129.15,-10196.1,-22404.7,-20133.4,-7087.8,-19819.9,-28417.8,-29457.3,-17159.2,-27561.2,-39430.4,-37491.6,-22620.5,-32015,-35176.9,-23748.6,-17592.1,-30364,-45713.1,-31057.9,-25638.6,-29326.3,-43988.3,-41771.3,-33904.5,-51735.5,-69793.9,-59603.1,-52415,-67690,-86711,-79806,-84585,-96104,-114965,-106274,-96454,-95128,-113956,-88541,-90445,-114317,-127723,-123624,-123418,-128394,-143201,-127284,-125763,-156344,-174150,-179630,-155179,-182097,-203326,-208628,-183714,-206887,-235072,-190969,-183935,-192344,-191125,-169150,-160406,-180281,-202887,-152952,-83678,-87632,-111200,-97226,-86827,-114039,-133305,-97831,-100113,-122625,-128341,-104218,-96177,-116778,-117834,-87323,-73385,-92838,-104051,-69181,-72032,-92506,-107488,-97952,-84864,-103115,-123304,-97164,-91920,-101920,-113607,-88772,-71123,-107374,-99825,-89292,-78893,-96830,-133695,-130433,-94985,-119258,-129814,-97691,-86185,-148684,-186044,-180294,-166053,-214081,-258507,-229343,-263229,-271509,-260173,-217192,-208382,-240412,-241435,-215149,-219848,-283451,-334448,-295872,
IMF.STA:BOP(20.0.0),SYC.NETCD_T.CAB.USD.Q,OBS_VALUE,Seychelles,Net (credits less debits),Current account balance (credit less debit),US dollar,Quarterly,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.786068449,-1.045111375,-6.72788334,-5.276905901,-3.166954968,-7.854953505,-4.631857238,0.030916998,-0.612673144,-7.272667845,-8.196721313,-2.712013095,-10.48692672,-16.2506179,-8.471224374,-5.432814199,-12.16505841,-5.185387539,-6.430133658,-2.268914897,-2.955522288,-4.858486929,-3.247374339,-2.22736543,1.469874259,-4.347905599,-6.596056551,-9.727153107,-7.006877408,-8.775119515,-13.12575805,-4.38654792,3.516672276,-11.43187687,-5.01102779,-8.186953972,-15.34860834,-1.646417622,-7.853027659,-3.562989447,-5.618931009,-15.24097935,-9.818428703,-8.975503616,-6.074089341,-5.890420062,3.028429381,-4.041097699,2.290375204,-3.180963536,-6.130853087,-1.147995791,5.988215499,-12.48015975,-0.081342145,-0.329973214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.194966217,-63.66608698,-75.1767428,-33.03164376,-8.278438672,-59.26801619,-33.31561368,-32.90527714,-5.92,-70.23841071,-39.45366391,-78.39632647,-85.40174466,-95.71671983,-70.06624381,-11.76241116,-37.53857963,-51.59063215,-45.34108693,-54.99149489,-30.66976484,-54.89357276,-88.71510327,-40.11176835,-54.81725914,-42.14717457,-81.99938644,-122.3211747,-42.21139827,-30.43336934,-42.79352893,-45.87497444,-12.92101494,-6.683350974,-93.27801629,-45.72694853,-52.94517779,-53.1433254,-101.2276754,-103.0875676,-58.44919279,-109.2782393,-40.86093361,-47.59294722,-13.88496583,-2.496821704,-17.31223262,-7.304531127,-6.889993428,-5.677605646,-13.02390582,-11.3283138,-19.43239716,-5.809347862,-15.71627309,-0.818725114,-7.02052531,-14.00014508,-28.58933103,-3.505412114,-64.58315852,-89.06873951,-20.21342494,0.628984735,-81.65117718,-5.635057742,-53.90038225,-18.98137064,-32.80957663,-41.54408077,-58.26537635,-9.028916935,-31.66078219,-63.88601895,-49.98870532,-9.658691008,-16.40246143,-28.58270714,-43.67547473,,
