Country,Phi0,Tstat0,r0_stationary_pval,r0_expl_pval,reject_ha_stationary_r0,reject_ha_expl_r0,Phi1,Tstat1,r1_stationary_pval,r1_expl_pval,reject_ha_stationary_r1,reject_ha_expl_r1,both_stationary,both_ur,stationary_explosive,ur_explosive,stationary_ur
hungary,0.086489761,2.195272956,0.966735967,0.033264033,FALSE,TRUE,-0.269401006,-6.262152769,0.023908524,0.976091476,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
iceland,-0.244021724,-1.255927191,0.341798942,0.658201058,FALSE,FALSE,0.056541491,0.43849313,0.826455026,0.173544974,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
india,-0.164076098,-2.234093866,0.04576659,0.95423341,TRUE,FALSE,-0.521044056,-3.067896354,0.029748284,0.970251716,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
indonesia,-0.085230997,-1.872942233,0.268862912,0.731137088,FALSE,FALSE,-0.127078083,-3.696225305,0.063761955,0.936238045,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ireland,-0.71442724,-3.795453728,0.09664293,0.90335707,TRUE,FALSE,-0.215638874,-3.452148173,0.088504578,0.911495422,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
israel,0.152377283,1.773544986,0.972945892,0.027054108,FALSE,TRUE,-0.075100208,-1.853201121,0.405811623,0.594188377,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
italy,-0.176142165,-1.828482167,0.306352459,0.693647541,FALSE,FALSE,-0.148121993,-2.832277402,0.254098361,0.745901639,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
japan,-0.023911261,-0.513665965,0.487684729,0.512315271,FALSE,FALSE,-0.126188679,-3.752406971,0.047619048,0.952380952,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
kazakhstan,-0.372254221,-0.509784133,0.428258488,0.571741512,FALSE,FALSE,-0.462830481,-0.512366851,0.6516977,0.3483023,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
korea  rep.,-0.125510477,-3.302043789,0.144196952,0.855803048,FALSE,FALSE,-0.240089481,-2.626024767,0.106682298,0.893317702,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
kyrgyz republic,-0.395443393,-8.742805985,,,,,-0.586164214,-6.097531602,,,,,FALSE,TRUE,FALSE,FALSE,FALSE
latvia,-0.179024674,-3.205055373,0.016580311,0.983419689,TRUE,FALSE,-0.075001975,-0.903381919,0.21865285,0.78134715,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
lithuania,0.082790492,2.189209342,0.981836529,0.018163471,FALSE,TRUE,-0.086230522,-1.485622247,0.266397578,0.733602422,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
luxembourg,-2.036737739,-8.154650519,0,1,TRUE,FALSE,-1.942572802,-3.664793596,0,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
macedonia  fyr,-0.885473244,-1.366177266,0.285714286,0.714285714,FALSE,FALSE,-1.581269028,-1.202940114,0.142857143,0.857142857,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
malaysia,0.130345845,1.838673107,0.951948052,0.048051948,FALSE,TRUE,-0.055510306,-1.846493368,0.332467532,0.667532468,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
malta,0.031774,0.268791025,0.893939394,0.106060606,FALSE,FALSE,-0.221591952,-2.551127993,0.152525253,0.847474747,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
mauritius,-0.398517461,-9.311896141,0.010683761,0.989316239,TRUE,FALSE,0.198647544,3.462799186,0.957264957,0.042735043,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
mexico,-0.586246947,-3.197342566,0.077177508,0.922822492,TRUE,FALSE,-0.112424406,-2.838004673,0.060639471,0.939360529,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
moldova,0.026577441,0.232389083,0.244747899,0.755252101,FALSE,FALSE,-0.114890719,-1.420792266,0.052521008,0.947478992,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
montenegro,-0.152055886,-0.573397664,0.282157676,0.717842324,FALSE,FALSE,-0.178826761,-0.591295979,0.322614108,0.677385892,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
netherlands,-0.184012384,-2.510194711,0.130023641,0.869976359,FALSE,FALSE,-0.017762377,-0.223244718,0.426713948,0.573286052,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
new zealand,-0.532208568,-8.18305683,0.003768844,0.996231156,TRUE,FALSE,-0.103912514,-2.007673643,0.09798995,0.90201005,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
norway,-0.004001469,-0.096867508,0.408,0.592,FALSE,FALSE,-0.170823675,-4.240436625,0.022666667,0.977333333,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
paraguay,-0.745996608,-0.480762895,0.428571429,0.571428571,FALSE,FALSE,-0.6812391,-1.892068448,0.110633727,0.889366273,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
peru,-0.290219444,-5.528858976,0.015345269,0.984654731,TRUE,FALSE,-0.359183726,-4.051158081,0.121483376,0.878516624,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
philippines,-0.522442284,-2.168672709,0.11334002,0.88665998,FALSE,FALSE,0.000142914,0.001416352,0.779338014,0.220661986,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
poland,-0.061289821,-0.477605536,0.550253807,0.449746193,FALSE,FALSE,-0.344067678,-2.254820737,0.12893401,0.87106599,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
portugal,-0.18640903,-3.595540626,0.059811123,0.940188877,TRUE,FALSE,0.007082771,0.222755598,0.875131165,0.124868835,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
romania,-0.348503257,-5.894083768,0.011351909,0.988648091,TRUE,FALSE,0.002110314,0.04366564,0.689370485,0.310629515,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
russian federation,-0.181646176,-2.504894683,0.162371134,0.837628866,FALSE,FALSE,-0.050675007,-0.875445967,0.322164948,0.677835052,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
saudi arabia,-0.574210749,-3.810511396,0.011689692,0.988310308,TRUE,FALSE,-0.153154298,-2.272380951,0.059511158,0.940488842,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
slovak republic,-0.20274023,-1.509962777,0.266595289,0.733404711,FALSE,FALSE,0.118046888,0.360899522,0.624197002,0.375802998,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
slovenia,-0.13349576,-1.150972799,0.436344969,0.563655031,FALSE,FALSE,0.00066243,0.007956584,0.719712526,0.280287474,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
south africa,-0.13964464,-3.31917803,0.042937853,0.957062147,TRUE,FALSE,-0.163895163,-0.313336181,0.517514124,0.482485876,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
spain,-0.179247339,-2.951874822,0.107068607,0.892931393,FALSE,FALSE,-0.035154009,-1.319567171,0.196465696,0.803534304,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
sri lanka,-0.546855412,-7.219978094,0.012448133,0.987551867,TRUE,FALSE,-1.1754554,-9.616891834,0,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
sweden,-0.017642269,-0.494626755,0.682801236,0.317198764,FALSE,FALSE,-0.043883168,-0.6624056,0.463439753,0.536560247,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
switzerland,-0.430322565,-6.58575759,0.00716479,0.99283521,TRUE,FALSE,-0.018650475,-0.398260833,0.437052201,0.562947799,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
taiwan,0.040050788,0.679598132,0.871257485,0.128742515,FALSE,FALSE,-0.207340506,-4.972829493,0.047904192,0.952095808,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
thailand,-0.157126319,-2.396533409,0.200408998,0.799591002,FALSE,FALSE,-0.030607273,-0.718942234,0.585889571,0.414110429,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
turkey,-1.095606566,-7.035872557,0.001111111,0.998888889,TRUE,FALSE,-0.18119106,-2.538278313,0.01,0.99,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
united kingdom,-0.330185746,-2.941818618,0.203925845,0.796074155,FALSE,FALSE,-0.062982435,-0.957784719,0.483097056,0.516902944,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
united states,-0.077139115,-5.028907505,0.018211921,0.981788079,TRUE,FALSE,0.008050205,0.532668531,0.670529801,0.329470199,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
uruguay,-0.106883696,-0.94386275,0.432160804,0.567839196,FALSE,FALSE,-0.296945654,-1.064900528,0.499497487,0.500502513,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
venezuela  rb,0.121450331,1.580786641,0.939220183,0.060779817,FALSE,TRUE,-0.668215214,-4.349301432,0.076834862,0.923165138,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
vietnam,-0.746860412,-17.98214996,0.029612756,0.970387244,TRUE,FALSE,-0.17997525,-5.139411111,0.161731207,0.838268793,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
