cn,ccode,cn_2,date2,pct_ca,ca,pct_ca_sa_2,date3
196,NZL,New Zealand,7/1/1999,-9.113491326570511,-4.71023515599986,-5.9163174,1999q3
196,NZL,New Zealand,10/1/1999,-9.983644634485239,-7.52562743018734,-8.4975652,1999q4
196,NZL,New Zealand,1/1/2000,-1.96867864578962,-4.59351826421313,-5.5314281,2000q1
196,NZL,New Zealand,4/1/2000,-3.32779064774513,-3.19262028051164,-4.4559918,2000q2
196,NZL,New Zealand,7/1/2000,-8.336519449949259,-3.20083823430001,-5.1316261,2000q3
196,NZL,New Zealand,10/1/2000,-4.96517196297646,-2.04383399599119,-3.4748548,2000q4
196,NZL,New Zealand,1/1/2001,1.523398142308,-1.02024132631372,-2.040878,2001q1
196,NZL,New Zealand,4/1/2001,.0836348626762629,.139055685481322,-1.0539769,2001q2
196,NZL,New Zealand,7/1/2001,-5.57085797190666,-.313966763922365,-2.3590704,2001q3
196,NZL,New Zealand,10/1/2001,-4.97292019426823,-2.02675688143934,-3.4799776,2001q4
196,NZL,New Zealand,1/1/2002,-.401400169357657,-3.3091692195699,-3.9666223,2002q1
196,NZL,New Zealand,4/1/2002,-1.01285884156823,-.929865078400389,-2.1574115,2002q2
196,NZL,New Zealand,7/1/2002,-7.42176026105881,-2.12677847783004,-4.2038606,2002q3
196,NZL,New Zealand,10/1/2002,-5.27885034680367,-2.31936033864425,-3.7846202,2002q4
196,NZL,New Zealand,1/1/2003,1.24285891652107,-2.10535486119178,-2.3235565,2003q1
196,NZL,New Zealand,4/1/2003,-3.61450165510178,-3.04035694877442,-4.7646742,2003q2
196,NZL,New Zealand,7/1/2003,-7.6017327606678,-2.18507194749095,-4.3785908,2003q3
196,NZL,New Zealand,10/1/2003,-5.08381351828575,-2.44718792866941,-3.5883798,2003q4
196,NZL,New Zealand,1/1/2004,-1.09432609751821,-3.60396462824931,-4.6608894,2004q1
196,NZL,New Zealand,4/1/2004,-3.81537526845932,-3.15949952686363,-4.9714518,2004q2
196,NZL,New Zealand,7/1/2004,-10.5646446347237,-5.92467969457746,-7.3378865,2004q3
196,NZL,New Zealand,10/1/2004,-7.09397494792938,-5.50916052110903,-5.5961424,2004q4
196,NZL,New Zealand,1/1/2005,-3.11305429786444,-5.92218317987125,-6.6787244,2005q1
196,NZL,New Zealand,4/1/2005,-6.67350292205811,-7.12778370863229,-7.8358144,2005q2
196,NZL,New Zealand,7/1/2005,-12.2229166328907,-7.61160002941681,-8.99473109999999,2005q3
196,NZL,New Zealand,10/1/2005,-9.418731927871701,-7.59779830941616,-7.9167493,2005q4
196,NZL,New Zealand,1/1/2006,-6.39068856835365,-8.921887911340111,-9.955423400000001,2006q1
196,NZL,New Zealand,4/1/2006,-6.41940608620644,-6.50394831299354,-7.587371,2006q2
